Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70408,525330,178800,-0.19601,51.494207,1,3,1,5,24/06/2014,3,23:45,12,E09000020,3,4,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01002851
201401BS70409,527090,178000,-0.170959,51.486624,1,3,2,2,25/06/2014,4,06:59,12,E09000020,3,3217,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002910
201401BS70413,525320,178910,-0.196115,51.495197,1,3,2,1,17/06/2014,3,09:20,12,E09000020,3,3220,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002815
201401BS70414,523820,179880,-0.217372,51.504245,1,3,2,1,27/06/2014,6,10:30,11,E09000013,3,3220,1,30,1,2,3,402,0,0,1,1,1,0,0,1,1,
201401BS70415,526420,178750,-0.180335,51.493515,1,3,1,1,26/06/2014,5,17:10,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002835
201401BS70416,527860,179440,-0.159354,51.499392,1,2,1,1,26/06/2014,5,17:34,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,2,1,1,E01002818
201401BS70417,525330,178890,-0.195978,51.495015,1,3,2,1,28/06/2014,7,18:07,12,E09000020,3,3220,2,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01002815
201401BS70418,526290,177310,-0.182721,51.480602,1,3,2,2,28/06/2014,7,23:40,12,E09000020,3,3220,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002843
201401BS70419,527250,178740,-0.168389,51.493239,1,3,2,1,29/06/2014,1,15:15,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002858
201401BS70420,526760,177740,-0.175802,51.484362,1,3,2,1,29/06/2014,1,18:26,12,E09000020,3,3220,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002845
201401BS70421,527340,177650,-0.167486,51.483423,1,3,2,1,27/06/2014,6,07:25,12,E09000020,3,3031,6,30,6,2,4,304,0,5,1,1,1,0,0,1,1,E01002844
201401BS70423,525470,178100,-0.194243,51.487884,1,3,2,1,01/07/2014,3,09:46,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002894
201401BS70424,527760,179700,-0.160699,51.501751,1,3,2,1,01/07/2014,3,20:33,1,E09000033,3,4,3,30,3,2,3,3216,0,5,4,1,1,0,0,1,1,E01004689
201401BS70425,523950,179800,-0.215528,51.503498,1,3,2,1,02/07/2014,4,19:03,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002869
201401BS70426,528030,178490,-0.15725,51.490816,1,3,2,1,02/07/2014,4,23:30,12,E09000020,3,3216,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002902
201401BS70427,527340,177670,-0.167479,51.483602,1,3,3,2,28/06/2014,7,12:00,12,E09000020,3,3212,6,30,6,2,4,304,0,5,1,2,2,0,0,1,2,E01002844
201401BS70428,527590,178670,-0.163519,51.492533,1,3,4,1,03/07/2014,5,14:10,12,E09000020,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002861
201401BS70429,527570,178530,-0.163858,51.491279,1,3,2,1,03/07/2014,5,11:36,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002861
201401BS70430,524290,180070,-0.210537,51.50585,1,3,2,1,13/08/2014,4,14:27,12,E09000020,3,402,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002871
201401BS70431,523970,181570,-0.214618,51.519401,1,3,2,2,03/07/2014,5,17:00,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002909
201401BS70433,524920,178760,-0.201927,51.493938,1,3,2,1,07/07/2014,2,14:40,12,E09000020,3,3220,2,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002814
201401BS70434,526360,177430,-0.181671,51.481665,1,3,2,1,07/07/2014,2,14:25,12,E09000020,3,3217,6,30,6,2,3,3220,0,5,1,1,2,0,0,1,1,E01002913
201401BS70435,527430,179360,-0.165574,51.49877,1,3,1,1,07/07/2014,2,15:46,12,E09000020,3,4,6,30,3,4,3,4,0,0,1,1,1,0,0,1,1,E01002819
201401BS70437,527310,179230,-0.167349,51.497629,1,3,1,1,08/07/2014,3,11:13,12,E09000020,3,4,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002819
201401BS70438,527160,178050,-0.169933,51.487058,1,3,2,1,09/07/2014,4,17:40,12,E09000020,3,3217,2,30,8,4,3,3217,0,5,1,1,1,0,0,1,1,E01002914
201401BS70442,526500,178530,-0.179262,51.49152,1,3,2,1,11/07/2014,6,15:08,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002820
201401BS70444,526930,177480,-0.173449,51.481987,1,3,2,1,10/07/2014,5,09:10,12,E09000020,3,3220,6,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002840
201401BS70445,524630,179030,-0.206007,51.496428,1,3,2,1,12/07/2014,7,12:37,12,E09000020,3,315,6,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002814
